Title,Product #,Released,Lowest,Average,Highest,URL,category
Barbie 2003,B0144,2003,4,115.0,300,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-2003.jpg,
France Barbie,N4972,2009,17,115.0,50,https://www.barbiedb.com/wp-content/uploads/2020/05/france-barbie.jpg,nationalities
Bewitched and Bejeweled Halloween Barbie,BBV49,2013,5,21.0,29,https://www.barbiedb.com/wp-content/uploads/2020/05/bewitched-and-bejeweled-halloween-barbie.jpg,holiday
Taurus Barbie,C6241,2004,1,21.0,55,https://www.barbiedb.com/wp-content/uploads/2021/07/c6241-2004-taurus-barbie-614x1024.jpg,horoscopes
Ballet Wishes Barbie,X8276,2013,20,21.0,156,https://www.barbiedb.com/wp-content/uploads/2020/05/ballet-wishes-barbie-x8276.jpg,special_occasion
University of Iowa Hawkeyes Cheerleader Barbie,20367,1996,16,21.0,26,https://www.barbiedb.com/wp-content/uploads/2021/08/20367-iowa-hawkeyes-university.jpg,careers
On Location: Milan Barbie,J0962,2006,132,21.0,341,https://www.barbiedb.com/wp-content/uploads/2020/05/on-location-milan-barbie.jpg,city_girl
Barbie and Her Wig Wardrobe,R9524,2010,40,192.0,223,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-and-her-wig-wardrobe.jpg,fashion_beauty
Avon Rose Splendor Barbie Doll AA,V7125,2010,24,192.0,71,https://www.barbiedb.com/wp-content/uploads/2020/05/avon-rose-splendor-barbie-doll-aa.jpg,collector_edition
Kitty Corner Francie Doll,W3469,2012,35,192.0,300,https://www.barbiedb.com/wp-content/uploads/2020/05/kitty-corner-francie-doll.jpg,
Happy New Year Barbie Doll,X8282,2013,75,192.0,182,https://www.barbiedb.com/wp-content/uploads/2020/05/happy-new-year-barbie-doll.jpg,holiday
Carnival Cruise Barbie,15186,1997,20,192.0,66,https://www.barbiedb.com/wp-content/uploads/2021/07/15186-1997-carnival-cruise-barbie.jpg,vacation
Tales of the Arabian Nights Giftset,50827,2001,98,110.0,175,https://www.barbiedb.com/wp-content/uploads/2020/05/tales-of-the-arabian-nights-giftset.jpg,sets
Barbie Portable Playmates,?,1991,75,110.0,100,https://www.barbiedb.com/wp-content/uploads/2020/05/0-1991-barbie-portable-playmates-1024x809.jpg,
Barbie Bubble Cut,5,1961,150,110.0,300,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-bubble-cut.jpg,
Winter’s Eve Barbie,13613,1994,2,110.0,44,https://www.barbiedb.com/wp-content/uploads/2021/07/13613-winters-eve-658x1024.jpg,holiday
Twirling Ballerina Barbie,15086,1995,6,110.0,36,https://www.barbiedb.com/wp-content/uploads/2021/07/15086-1995-twirling-ballerina-barbie-529x1024.jpg,special_occasion
Happy Holidays Barbie (AA),2396,1992,14,30.0,50,https://www.barbiedb.com/wp-content/uploads/2020/05/happy-holidays-barbie-aa-2396.jpg,holiday
Barbie In A Christmas Carol as Eden Starling,N6207,2008,9,30.0,55,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-in-a-christmas-carol-as-eden-starling.jpg,holiday
See’s Candies Barbie,27289,1999,14,30.0,51,https://www.barbiedb.com/wp-content/uploads/2022/09/27289-1999-27289-1999-sees-candies-barbie-679x1024.jpg,
Barbie 1993 Holiday Hallmark Ornament,QX5725,1993,4,30.0,33,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-1993-holiday-hallmark-ornament.jpg,holiday
"Holiday Princess Belle, from Disney’s Beauty and the Beast: The Enchanted Christmas",16710,1997,6,30.0,41,https://www.barbiedb.com/wp-content/uploads/2022/02/16710-1997-holiday-princess-belle-from-disneys-beauty-and-the-beast-the-enchanted-christmas-707x1024.jpg,movie_show_chars
XXXOOO Barbie,23952,1999,6,14.0,30,https://www.barbiedb.com/wp-content/uploads/2021/07/23952-1999-xxxooo-barbie-342x1024.jpg,
Scottish Barbie,9845,1990,9,14.0,70,https://www.barbiedb.com/wp-content/uploads/2020/05/scottish-barbie.jpg,nationalities
Indiana University Cheerleader Barbie,20044,1996,19,14.0,48,https://www.barbiedb.com/wp-content/uploads/2020/05/20044-1996-indiana-university-cheerleader-barbie-545x1024.jpg,nationalities
Valentine Wishes Barbie,50879,2001,9,14.0,45,https://www.barbiedb.com/wp-content/uploads/2022/10/50879-2001-valentine-wishes-barbie-364x1024.jpg,holiday
University of Michigan Cheerleader Barbie,17398,1996,11,14.0,30,https://www.barbiedb.com/wp-content/uploads/2021/07/17398-1996-university-of-michigan-cheerleader-barbie-535x1024.jpg,careers
Rebelde TV Barbie Doll,L8427,2007,35,73.0,90,https://www.barbiedb.com/wp-content/uploads/2020/05/rebelde-tv-barbie-doll.jpg,
Barbie as Juliet,B5655,2004,35,73.0,120,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-as-juliet.jpg,movie_show_chars
Barbie and Curious George,28798,2001,14,73.0,45,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-and-curious-george.jpg,movie_show_chars
University of Nebraska Huskers Cheerleader Barbie,17193,1996,2,73.0,30,https://www.barbiedb.com/wp-content/uploads/2021/07/17193-1996-university-of-nebraska-huskers-cheerleader-barbie-535x1024.jpg,careers
Uptown Chic,11623,1993,6,73.0,36,https://www.barbiedb.com/wp-content/uploads/2021/06/uptown-chic-1024x725.jpg,fashion_beauty
Noir et Blanc Barbie,B1992,2003,83,106.0,250,https://www.barbiedb.com/wp-content/uploads/2020/05/noir-et-blanc-barbie.jpg,
Classic Evening Gown Barbie Doll Platinum Label,CGT31,2015,123,106.0,300,https://www.barbiedb.com/wp-content/uploads/2020/05/classic-evening-gown-barbie-doll-platinum-label.jpg,special_occasion
Barbie Pepsi Spirit Skipper,4867,1989,15,106.0,60,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-pepsi-spirit-skipper.jpg,
Barbie Super Power Teresa Flying Hero,14031,1995,11,106.0,31,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-super-power-teresa-flying-hero.jpg,
10 Years Tribute Silkstone Barbie,T2155,2010,399,106.0,796,https://www.barbiedb.com/wp-content/uploads/2022/03/t2155-2010-10-years-tribute-silkstone-barbie-614x1024.jpg,
Barbie I Can Be  Space Camp Doll,N0830,2008,19,86.0,80,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-i-can-be-space-camp-doll.jpg,careers
Ballet Wishes Barbie Doll – Hispanic,DKM20,2015,25,86.0,136,https://www.barbiedb.com/wp-content/uploads/2020/05/ballet-wishes-barbie-doll-hispanic.jpg,special_occasion
Jonathan Adler Barbie,N6579,2009,35,86.0,251,https://www.barbiedb.com/wp-content/uploads/2020/05/jonathan-adler-barbie.jpg,
Happy Holidays Barbie (AA),4543,1990,11,86.0,70,https://www.barbiedb.com/wp-content/uploads/2020/05/happy-holidays-barbie-aa-4543.jpg,holiday
Barbie Beach Blast Sunshine Holiday Playset,7393,1989,15,86.0,300,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-beach-blast-sunshine-holiday-playset.jpg,sets
Stewardess Barbie,J4256,2006,275,431.0,500,https://www.barbiedb.com/wp-content/uploads/2020/05/stewardess-barbie.jpg,careers
"Barbie Kevin, Cool Teen Boyfirend of Skipper",9325,1990,24,431.0,34,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-kevin-cool-teen-boyfirend-of-skipper.jpg,
Princess of Ancient Mexico Barbie,C2203,2004,17,431.0,115,https://www.barbiedb.com/wp-content/uploads/2020/05/princess-of-ancient-mexico-barbie.jpg,movie_show_chars
Naf Naf Ken,10998,1993,70,431.0,90,https://www.barbiedb.com/wp-content/uploads/2020/05/naf-naf-ken.jpg,ken
Barbie 1997 Happy Holidays Barbie Hallmark Ornament,QXC5162,1997,2,431.0,35,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-1997-happy-holidays-barbie-hallmark-ornament.jpg,holiday
Southern Belle Barbie,N5009,2009,56,264.0,340,https://www.barbiedb.com/wp-content/uploads/2020/05/southern-belle-barbie-n5009.jpg,
Ring in the New Year Barbie AA,52743,2001,10,264.0,41,https://www.barbiedb.com/wp-content/uploads/2020/05/ring-in-the-new-year-barbie-aa.jpg,holiday
Ken Winter Sports,13515,1994,20,264.0,59,https://www.barbiedb.com/wp-content/uploads/2020/05/ken-winter-sports.jpg,ken
Golden Gala Barbie,N6620,2009,375,264.0,1451,https://www.barbiedb.com/wp-content/uploads/2020/05/golden-gala-barbie.jpg,special_occasion
Peppermint Candy Cane Barbie,57578,2003,18,264.0,46,https://www.barbiedb.com/wp-content/uploads/2020/05/peppermint-candy-cane-barbie.jpg,
Moonlight Waltz Barbie,17763,1997,10,24.0,81,https://www.barbiedb.com/wp-content/uploads/2020/05/moonlight-waltz-barbie.jpg,special_occasion
Barbie In A Mermaid Tale Swim ‘N Dance Mermaid Barbie Doll,T1474,2009,28,24.0,100,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-in-a-mermaid-tale-swim-n-dance-mermaid-barbie-doll.jpg,movie_show_chars
Barbie I Can Be Computer Engineer,T7173,2010,20,24.0,100,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-i-can-be-computer-engineer.jpg,careers
Barbie as Had a Little Lamb,21740,1999,9,24.0,45,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-as-had-a-little-lamb.jpg,
Barbie I Can Be… President B Party Doll,X2931,2012,10,24.0,50,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-i-can-be-president-b-party-doll-x2931.jpg,special_occasion
Barbie as Beauty from BEAUTY and the BEAST,24673,2000,17,20.0,40,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-as-beauty-from-beauty-and-the-beast.jpg,fashion_beauty
Harpist Angel Barbie (AA),20551,1998,9,20.0,100,https://www.barbiedb.com/wp-content/uploads/2020/05/harpist-angel-barbie-aa.jpg,collector_edition
Carnaval Barbie,J0927,2006,17,20.0,46,https://www.barbiedb.com/wp-content/uploads/2020/05/carnaval-barbie.jpg,special_occasion
Swan Lake Ken,B2768,2003,12,20.0,153,https://www.barbiedb.com/wp-content/uploads/2020/05/swan-lake-ken.jpg,ken
Mystery Squad Barbie Night Mission Specialist,54222,2002,9,20.0,30,https://www.barbiedb.com/wp-content/uploads/2020/05/mystery-squad-barbie-night-mission-specialist.jpg,
Fashion Fever Teresa Doll,H0657,2004,45,28.0,76,https://www.barbiedb.com/wp-content/uploads/2020/05/fashion-fever-teresa-doll-h0657.jpg,fashion_beauty
Locket Surprise Ken,10964,1993,9,28.0,76,https://www.barbiedb.com/wp-content/uploads/2020/05/locket-surprise-ken.jpg,ken
Bob Mackie Diamond Dazzle Barbie,15519,1997,21,28.0,93,https://www.barbiedb.com/wp-content/uploads/2020/05/bob-mackie-diamond-dazzle-barbie.jpg,Bob Mackie
Barbie Kitchen Playset,7472,1992,49,28.0,175,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-kitchen-playset.jpg,sets
Barbie 2002,53976,2002,43,28.0,55,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-2002-53976.jpg,
Native American Barbie,12699,1995,1,8.0,35,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-2002-53976.jpg,nationalities
Lady Liberty Barbie,26934,2000,50,8.0,325,https://www.barbiedb.com/wp-content/uploads/2020/05/lady-liberty-barbie.jpg,
Barbie Fashionista Barbie Doll (Tropical Print),BHY13,2013,9,8.0,26,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-fashionista-barbie-doll-tropical-print.jpg,fashion_beauty
Barbie as Snowflake in The Nutcracker,25642,2000,14,8.0,31,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-as-snowflake-in-the-nutcracker.jpg,movie_show_chars
Bake Shop & Café,67316,1998,45,8.0,225,https://www.barbiedb.com/wp-content/uploads/2020/05/bake-shop-barbie.jpg,dining
Ma-Ba Princess in Blue Gown,C4558,2003,14,35.0,70,https://www.barbiedb.com/wp-content/uploads/2020/05/ma-ba-princess-in-blue-gown-c4558.jpg,movie_show_chars
Barbie Fairytale Magic Ballerina Lea Doll,BCP14,2013,7,35.0,18,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-fairytale-magic-ballerina-lea-doll-328x1024.jpg,movie_show_chars
Barbie Chelsea Holiday Christmas Tree Doll,CMM26,2015,7,35.0,15,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-chelsea-holiday-christmas-tree-doll.jpg,holiday
Barbie Ballerina Teresa Doll,BCP13,2013,7,35.0,17,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-ballerina-teresa-doll-300x1024.jpg,special_occasion
Cocktail Dress Barbie Doll,X8253,2013,75,35.0,476,https://www.barbiedb.com/wp-content/uploads/2020/05/cocktail-dress-barbie-doll.jpg,fashion_beauty
Swan Lake Ken AA,B2769,2003,19,25.0,35,https://www.barbiedb.com/wp-content/uploads/2020/05/swan-lake-ken-aa.jpg,ken
Fantasy Goddess of the Arctic Barbie,50840,2001,109,25.0,286,https://www.barbiedb.com/wp-content/uploads/2020/05/fantasy-goddess-of-the-arctic-barbie.jpg,Bob Mackie
Bob Mackie Le Papillion Barbie,23276,1999,39,25.0,225,https://www.barbiedb.com/wp-content/uploads/2020/05/bob-mackie-le-papillion-barbie.jpg,Bob Mackie
Barbie Workin’ Out Fitness Center,67657,1997,19,25.0,80,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-workin-out-fitness-center.jpg,hobby_activity
Skate Date Ken,56610,2002,6,25.0,55,https://www.barbiedb.com/wp-content/uploads/2020/05/skate-date-ken.jpg,ken
Ken as Scarecrow in the Wizard Of Oz,25816,1999,2,22.0,70,https://www.barbiedb.com/wp-content/uploads/2020/05/25816-1999-ken-as-scarecrow-in-the-wizard-of-oz-661x1024.jpg,movie_show_chars
"Barbie Basics Model No. 08, Collection 001",R9924,2009,44,22.0,131,https://www.barbiedb.com/wp-content/uploads/2021/09/r9924-2009-barbie-basics-model-no-08-collection-001-446x1024.jpg,careers
Barbie Entrepreneur Doll,CBD23,2014,12,22.0,35,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-entrepreneur-doll.jpg,careers
International Travel Barbie,15184,1995,9,22.0,50,https://www.barbiedb.com/wp-content/uploads/2021/07/15184-1995-international-travel-barbie-645x1024.jpg,
Barbie Olympic Gymnast AA,15124,1996,2,22.0,31,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-olympic-gymnast-aa.jpg,careers
Barbie Careers Firefighter Doll,DHB23,2015,10,12.0,25,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-careers-firefighter-doll.jpg,careers
Soccer Barbie Mia Hamm,20151,1998,1,12.0,31,https://www.barbiedb.com/wp-content/uploads/2020/05/soccer-barbie.jpg,famous
Bob Mackie Countess Dracula Barbie,V0454,2011,300,12.0,886,https://www.barbiedb.com/wp-content/uploads/2020/05/bob-mackie-countess-dracula-barbie.jpg,Bob Mackie
Barbie So Much To Do Post Office Playset,67161,1995,35,12.0,300,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-so-much-to-do-post-office-playset.jpg,sets
Barbie as The Princess and the Pauper Princess Anneliese Doll AA,B5769,2004,49,12.0,126,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-as-the-princess-and-the-pauper-princess-anneliese-doll-aa.jpg,movie_show_chars
University of Alabama Cheerleader,19170,1996,29,50.0,65,https://www.barbiedb.com/wp-content/uploads/2021/07/19170-1996-university-of-alabama-cheerleader-551x1024.jpg,careers
Chinese Barbie,11180,1994,1,50.0,25,https://www.barbiedb.com/wp-content/uploads/2020/05/chinese-barbie.jpg,nationalities
Barbie Birthday Wishes Doll,BCP64,2013,15,50.0,90,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-birthday-wishes-doll.jpg,holiday
Princess of The Nile Cleopatra Barbie,53369,2002,20,50.0,91,https://www.barbiedb.com/wp-content/uploads/2020/05/princess-of-the-nile-cleopatra-barbie.jpg,movie_show_chars
Coca-Cola Soda Barbie Fountain Set,26980,2000,34,50.0,390,https://www.barbiedb.com/wp-content/uploads/2020/05/coca-cola-soda-barbie-fountain-set.jpg,sets
Barbie Water Sprite,DGX95,2016,90,410.0,500,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-water-sprite.jpg,collector_edition
Prima Ballerina Barbie,P4753,2009,75,410.0,800,https://www.barbiedb.com/wp-content/uploads/2020/05/prima-ballerina-barbie.jpg,special_occasion
Fire and Ice Barbie,53511,2001,9,410.0,45,https://www.barbiedb.com/wp-content/uploads/2020/05/fire-and-ice-barbie.jpg,collector_edition
Barbie Style Glam Luxe Leather Jacket  Doll,BLR58,2013,20,410.0,47,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-style-glam-luxe-leather-jacket-doll.jpg,glamorous
Barbie Glam Luxe,BLR56,2013,20,410.0,96,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-glam-luxe.jpg,glamorous
Aloha Cali Girl Barbie Doll,G8677,2005,21,49.0,71,https://www.barbiedb.com/wp-content/uploads/2020/05/aloha-cali-girl-barbie-doll.jpg,california_girl
Mbili Barbie,55287,2002,70,49.0,301,https://www.barbiedb.com/wp-content/uploads/2020/05/mbili-barbie.jpg,
Avon Rose Splendor Barbie Doll,T4349,2010,9,49.0,51,https://www.barbiedb.com/wp-content/uploads/2020/05/avon-rose-splendor-barbie-doll.jpg,collector_edition
Barbie McDonald’s Restaurant With Talking Drive Thru Playset,11774,1994,59,49.0,250,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-mcdonalds-restaurant-with-talking-drive-thru-playset.jpg,sets
Barbie as The Princess and the Pauper Ken as King Dominick,C5774,2004,12,49.0,61,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-as-the-princess-and-the-pauper-ken-as-king-dominick.jpg,movie_show_chars
Jamaican Barbie,4647,1992,3,19.0,40,https://www.barbiedb.com/wp-content/uploads/2020/05/jamaican-barbie.jpg,nationalities
Barbie 2000 Happy Holidays Hallmark Keepsake Ornament,QXC4494,2000,5,19.0,38,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-2000-happy-holidays-hallmark-keepsake-ornament.jpg,holiday
2013 Holiday Barbie Doll AA,X8272,2013,25,19.0,71,https://www.barbiedb.com/wp-content/uploads/2020/05/2013-holiday-barbie-doll-aa.jpg,holiday
2011 Holiday Barbie AA,T7915,2011,11,19.0,76,https://www.barbiedb.com/wp-content/uploads/2020/05/2011-holiday-barbie-aa.jpg,holiday
Pretty Picnic Barbie,50615,2000,6,19.0,17,https://www.barbiedb.com/wp-content/uploads/2021/07/50615-2000-pretty-picnic-barbie-409x1024.jpg,dining
Romantic Rose Bride Barbie,14541,1996,25,50.0,225,https://www.barbiedb.com/wp-content/uploads/2020/05/romantic-rose-bride-barbie.jpg,special_occasion
Barbie McDonald’s Fun Time! Restaurant Playset,88811,2001,77,50.0,390,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-mcdonalds-fun-time-restaurant-playset.jpg,sets
Barbie I Can Be… Zookeeper Doll,X9077,2012,19,50.0,32,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-i-can-be-zookeeper-doll.jpg,careers
Oklahoma University Cheerleader Barbie,20125,1996,2,50.0,29,https://www.barbiedb.com/wp-content/uploads/2021/12/20125-1996-oklahoma-university-cheerleader-barbie-1024x995.jpg,careers
Winter Royale Barbie,10658,1993,1,50.0,28,https://www.barbiedb.com/wp-content/uploads/2021/07/10658-1993-winter-royale-barbie-727x1024.jpg,royals
Barbie Holiday Surprise (AA),27291,2000,17,29.0,40,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-holiday-surprise-aa.jpg,holiday
Daria Celebutante Barbie,C3820,2004,40,29.0,86,https://www.barbiedb.com/wp-content/uploads/2020/05/daria-celebutante-barbie.jpg,limited_edition
Plantation Belle Barbie,C3828,2004,35,29.0,211,https://www.barbiedb.com/wp-content/uploads/2020/05/plantation-belle-barbie.jpg,
Brunette Brilliance Barbie,B0585,2003,76,29.0,200,https://www.barbiedb.com/wp-content/uploads/2020/05/brunette-brilliance-barbie.jpg,
Barbie Look No. 002 Collection 001,R9929,2009,20,29.0,70,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-look-no-002-collection-001-690x1024.jpg,
Plum Royale Barbie,23478,1999,70,32.0,90,https://www.barbiedb.com/wp-content/uploads/2020/05/plum-royale-barbie.jpg,royals
Barbie Learn & Play Center Playset,67427,2000,29,32.0,160,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-learn-play-center-playset.jpg,sets
Ken & Tommy Swim Buddies,26323,1999,26,32.0,90,https://www.barbiedb.com/wp-content/uploads/2020/05/ken-tommy-swim-buddies.jpg,ken
Barbie Collector The Hunger Games: Mockingjay Part 2 Peeta,CJF34,2015,19,32.0,120,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-collector-the-hunger-games-mockingjay-part-2-peeta.jpg,movie_show_chars
Model No. 01 Collection Red Target Barbie,V0334,2010,25,32.0,136,https://www.barbiedb.com/wp-content/uploads/2020/05/model-no-01-collection-red-target-barbie.jpg,careers
Hanae Mori Barbie,24994,2000,61,217.0,85,https://www.barbiedb.com/wp-content/uploads/2020/05/hanae-mori-barbie.jpg,limited_edition
Debut Barbie Blonde,N5006,2009,39,217.0,400,https://www.barbiedb.com/wp-content/uploads/2020/05/debut-barbie-blonde.jpg,debut
Debut Barbie AA,N5007,2009,30,217.0,206,https://www.barbiedb.com/wp-content/uploads/2020/05/debut-barbie-aa.jpg,debut
Barbie 1999 Barbie Gay Parisienne Hallmark Keepsake Ornament,QXI5301,1999,4,217.0,18,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-1999-barbie-gay-parisienne-hallmark-keepsake-ornament.jpg,city_girl
40th Anniversary Little Debbie,24977,1999,9,217.0,29,https://www.barbiedb.com/wp-content/uploads/2021/11/24977-1999-40th-anniversary-little-debbie-683x1024.jpg,special_occasion
Tokidoki Barbie,CMV57,2015,89,121.0,190,https://www.barbiedb.com/wp-content/uploads/2022/03/cmv57-2015-tokidoki-barbie.jpg,limited_edition
Barbie I Can Be… President B Party Doll,X3804,2012,10,121.0,40,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-i-can-be-president-b-party-doll-x3804.jpg,special_occasion
Ken Cool Looks Fashions Soccer Fun,12608,1994,7,121.0,35,https://www.barbiedb.com/wp-content/uploads/2020/05/ken-cool-looks-fashions-soccer-fun.jpg,fashion_beauty
Ken Prince Papillon,13237,1994,14,121.0,50,https://www.barbiedb.com/wp-content/uploads/2020/05/ken-prince-papillon.jpg,ken
Marisa Pretty Young Thing Barbie,C3821,2004,40,121.0,80,https://www.barbiedb.com/wp-content/uploads/2020/05/marisa-pretty-young-thing-barbie.jpg,
Barbie Picnic Pretty Fashions and Accessories Pack,12596,1994,14,27.0,35,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-picnic-pretty-fashions-and-accessories-pack.jpg,dining
Barbie Volleyball Fun Sparkle Beach Playset,67687,1997,9,27.0,150,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-volleyball-fun-sparkle-beach-playset-67687.jpg,sets
Publicity Tour Barbie,27685,2001,31,27.0,84,https://www.barbiedb.com/wp-content/uploads/2020/05/publicity-tour-barbie.jpg,city_girl
Open Road Vintage Reproduction Barbie,C3827,2004,29,27.0,96,https://www.barbiedb.com/wp-content/uploads/2020/05/open-road-vintage-reproduction-barbie.jpg,
Barbie 2014 Halloween Doll,CCP44,2014,10,27.0,27,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-2014-halloween-doll.jpg,holiday
Barbie I Can Be… President B Party Doll,X5323,2012,1,8.0,23,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-i-can-be-president-b-party-doll.jpg,special_occasion
Mexican Barbie,14449,1996,19,8.0,51,https://www.barbiedb.com/wp-content/uploads/2020/05/mexican-barbie.jpg,nationalities
Barbie Long Hair Doll (Purple Hair),W3212,2012,27,8.0,40,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-long-hair-doll-purple-hair.jpg,fashion_beauty
La Belle Epoque Barbie,W3415,2012,1,8.0,500,https://www.barbiedb.com/wp-content/uploads/2020/05/la-belle-epoque-barbie.jpg,limited_edition
Miss Pearl Barbie,L7577,2007,15,8.0,117,https://www.barbiedb.com/wp-content/uploads/2020/05/miss-pearl-barbie.jpg,birth_stone
Barbie Fashion Add-Ons Scarfs & Such,2462,1978,19,68.0,55,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-fashion-add-ons-scarfs-such.jpg,fashion_beauty
A Nod for Mod Barbie,C6261,2004,30,68.0,141,https://www.barbiedb.com/wp-content/uploads/2020/05/a-nod-for-mod-barbie.jpg,
Barbie Batgirl with Batcycle,C7458,2003,49,68.0,150,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-batgirl-with-batcycle.jpg,
My First Ballet Lesson Barbie,G8469,2004,1,68.0,1,https://www.barbiedb.com/wp-content/uploads/2022/03/g8469-2004-my-first-ballet-lesson-barbie-274x1024.jpg,special_occasion
Midge Wedding Day Fashions Honeymoon Sleepwear Fashion Pack,9631,1990,9,68.0,45,https://www.barbiedb.com/wp-content/uploads/2020/05/midge-wedding-day-fashions-honeymoon-sleepwear-fashion-pack.jpg,special_occasion
Lavender Luxe Barbie Doll,CGT28,2015,80,278.0,326,https://www.barbiedb.com/wp-content/uploads/2020/05/lavender-luxe-barbie-doll.jpg,collector_edition
Barbie Ocean Discovery Playset,67096,1999,9,278.0,100,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-ocean-discovery-playset.jpg,sets
Barbie’s Friend Midge with Pregnant Tummy and Baby,H0256,2004,124,278.0,325,https://www.barbiedb.com/wp-content/uploads/2020/05/barbies-friend-midge-with-pregnant-tummy-and-baby.jpg,family_friends
Barbie Fashionistas Doll 41 Pretty in Paisley Doll & Fashions – Petite,DTF04,2016,20,278.0,126,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-fashionistas-doll-41-pretty-in-paisley-doll-fashions-petite.jpg,pets
Barbie 1998 Happy Holidays Collector’s Club Hallmark Keepsake Ornament,QXC4493,1998,9,278.0,30,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-1998-happy-holidays-collectors-club-hallmark-keepsake-ornament.jpg,holiday
Barbie My Scene Goes Hollywood Chelsea Doll,G6131,2005,38,76.0,105,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-my-scene-goes-hollywood-chelsea-doll.jpg,
Barbie Beautiful Bride Blonde,G9071,2004,14,76.0,45,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-beautiful-bride-blonde.jpg,special_occasion
Boater Ensemble Barbie Doll,X8265,2013,59,76.0,460,https://www.barbiedb.com/wp-content/uploads/2020/05/boater-ensemble-barbie-doll.jpg,
Happy Family Barbie Baby Doctor,56726,2003,44,76.0,151,https://www.barbiedb.com/wp-content/uploads/2020/05/happy-family-barbie-baby-doctor.jpg,careers
Barbie Vincent Van Gogh Art Doll,V0445,2011,87,76.0,180,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-vincent-van-gogh-art-doll.jpg,
Crystal Jubilee Barbie,21923,1999,89,123.0,325,https://www.barbiedb.com/wp-content/uploads/2020/05/crystal-jubilee-barbie.jpg,collector_edition
3 Looks Barbie,12339,1995,9,123.0,20,https://www.barbiedb.com/wp-content/uploads/2020/05/3-looks-barbie.jpg,
Toronto Raptors NBA Barbie,20740,1998,74,123.0,115,https://www.barbiedb.com/wp-content/uploads/2021/07/20740-1998-toronto-raptors-nba-barbie.jpg,
Fuchsia ‘N Fur Francie,W3517,2012,49,123.0,276,https://www.barbiedb.com/wp-content/uploads/2020/05/fuchsia-n-fur-francie.jpg,
