Title,Product #,Released,Lowest,Average,Highest,URL,category
Barbie as Marzipan in The Nutcracker,20851,1999,15,21.0,46,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-as-marzipan-in-the-nutcracker.jpg,movie_show_chars
Barbie 30th Anniversary Francie,14608,1996,22,42.0,70,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-30th-anniversary-francie.jpg,special_occasion
Flying Tinker Bell from Disney’s Peter Pan,19298,1997,17,42.0,25,https://www.barbiedb.com/wp-content/uploads/2021/11/19298-1997-flying-tinker-bell-from-disneys-peter-pan-481x1024.jpg,movie_show_chars
Disney Favorites Barbie,28172,2000,4,42.0,30,https://www.barbiedb.com/wp-content/uploads/2021/09/28172-2000-disney-favorites-barbie-454x1024.jpg,movie_show_chars
Winter Renaissance Barbie,15570,1996,1,42.0,51,https://www.barbiedb.com/wp-content/uploads/2021/08/15570-winter-renaissance-602x1024.jpg,special_occasion
2017 Holiday Barbie,DYX39,2017,9,42.0,58,https://www.barbiedb.com/wp-content/uploads/2021/08/dyx39-2017-holiday-849x1024.jpg,holiday
Workin’ Out,17317,1996,9,23.0,50,https://www.barbiedb.com/wp-content/uploads/2021/08/17317-workin-out-522x1024.jpg,hobby_activity
Special Occasion Barbie,15831,1996,1,23.0,29,https://www.barbiedb.com/wp-content/uploads/2021/07/15831-1996-special-occasion-barbie-617x1024.jpg,special_occasion
Prince Ken,20491,1998,15,23.0,69,https://www.barbiedb.com/wp-content/uploads/2020/05/prince-ken.jpg,ken
Special 2000 Edition Celebration Barbie,28269,2000,1,23.0,1051,https://www.barbiedb.com/wp-content/uploads/2020/05/28269-special-2000-edition-celebration-barbie-901x1024.jpg,special_occasion
Holiday Ball Barbie,18326,1997,16,23.0,125,https://www.barbiedb.com/wp-content/uploads/2020/05/holiday-ball-barbie.jpg,special_occasion
Happy Holidays Barbie,4098,1990,4,28.0,101,https://www.barbiedb.com/wp-content/uploads/2020/05/happy-holidays-barbie-4098.jpg,holiday
Barbie DC Comics – Lois Lane,J5288,2005,10,28.0,100,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-dc-comics-lois-lane.jpg,movie_show_chars
Barbie Charm Girls Secret Spells,B2787,2003,14,28.0,75,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-charm-girls-secret-spells.jpg,
Barbie A Perfect Christmas Lead Doll,V6985,2011,30,28.0,55,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-a-perfect-christmas-lead-doll.jpg,holiday
2013 Holiday Barbie Doll,X8271,2013,9,28.0,221,https://www.barbiedb.com/wp-content/uploads/2020/05/2013-holiday-barbie-doll.jpg,holiday
2010 Holiday Barbie,R4545,2010,4,28.0,226,https://www.barbiedb.com/wp-content/uploads/2020/05/2010-holiday-barbie.jpg,holiday
Victorian Barbie with Cedric Bear,25526,2000,24,28.0,46,https://www.barbiedb.com/wp-content/uploads/2021/12/25526-2000-victorian-barbie-with-cedric-bear-757x1024.jpg,victorian
Valentine Barbie,12675,1994,7,28.0,20,https://www.barbiedb.com/wp-content/uploads/2021/08/12675-valentine-341x1024.jpg,holiday
Kool-Aid Wacky Warehouse Barbie,11763,1994,1,28.0,31,https://www.barbiedb.com/wp-content/uploads/2021/07/11763-1994-kool-aid-wacky-warehouse-barbie.jpg,houses
The Iris,53935,2002,40,28.0,141,https://www.barbiedb.com/wp-content/uploads/2021/07/53935-2002-the-iris.jpg,limited_edition
Holiday Brunette Barbie Doll Kmart,BDH35,2014,9,30.0,71,https://www.barbiedb.com/wp-content/uploads/2020/05/holiday-brunette-barbie-doll-kmart.jpg,holiday
Cali Guy So Excellent Earrings Blaine Doll,C6792,2004,14,30.0,91,https://www.barbiedb.com/wp-content/uploads/2020/05/cali-guy-so-excellent-earrings-blaine-doll.jpg,california_girl
Barbie Becky I’m The School Photographer,20202,1998,1,30.0,45,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-becky-im-the-school-photographer.jpg,careers
"Bella, from The Twilight Saga: Breaking Dawn (Part I)",T7653,2011,31,30.0,118,https://www.barbiedb.com/wp-content/uploads/2021/07/t7653-2011-bella-from-the-twilight-saga-breaking-dawn-part-1-499x1024.jpg,movie_show_chars
Marilyn Monroe in Gentlemen Prefer Blondes,17452,1997,14,30.0,97,https://www.barbiedb.com/wp-content/uploads/2020/05/marilyn-monroe-in-gentlemen-prefer-blondes.jpg,famous
Barbie 1997 Children’s Collector Hallmark Keepsake Ornament Rapunzel,QEO8635,1997,1,7.0,10,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-1997-childrens-collector-hallmark-keepsake-ornament-rapunzel.jpg,holiday
Angel Princess Barbie,15912,1996,9,7.0,35,https://www.barbiedb.com/wp-content/uploads/2022/03/15912-1996-angel-princess-barbie-970x1024.jpg,movie_show_chars
The Peacock,19365,1998,15,7.0,71,https://www.barbiedb.com/wp-content/uploads/2021/07/19365-1998-the-peacock-707x1024.jpg,
Victorian Elegance,12579,1994,1,7.0,40,https://www.barbiedb.com/wp-content/uploads/2021/06/victorian-elegance-1024x955.jpg,victorian
