Type,Career,Year
retail_customer,McDonald's cashier,1983.0
Media,News anchor,2010.0
retail_customer,Soda fountain waitress (Coca Cola edition),1998.0
Education,Babysitter,1963.0
animal_care,Pet groomer,2019.0
restaurant_kitchen,Coffee shop worker,2020.0
restaurant_kitchen,Noodle bar worker,2019.0
farming,Bee Keeper,2018.0
Sport,Basketball player,2019.0
Sport,Dancer,2018.0
Sport,Football player,2012.0
Sport,Football player,2017.0
Sport,Olympic Athlete,1975.0
Sport,Olympic Climber,2020.0
Sport,Olympic karateka,2020.0
Sport,Olympic softballer,2020.0
Sport,Olympic skateboarder,2020.0
Sport,Rythmic gymnast,2017.0
Sport,Baseball Player,2017.0
Sport,Gymnastic ,2012.0
Sport,Gymnastic ,2015.0
Sport,Tennis player,2012.0
Sport,Tennis player,2017.0
Sport,Tennis player,2020.0
Sport,Skier,2017.0
Sport,Snowboarder,2012.0
Sport,Figure skater,2018.0
Sport,Rock climber,2017.0
Sport,Skateboarder,2017.0
Sport,Martial artist,2017.0
Sport,Ballroom dancer,2012.0
Sport,Scuba diver,1994.0
Sport,Olympic Skier,1975.0
Sport,Major League Baseball player,1998.0
Sport,Cheerleader,1973.0
Sport,Cheerleader,2006.0
Sport,Cheerleader (Dallas Cowboys edition),2008.0
Sport,Golfer,2018.0
Sport,Boxer,2019.0
Medicine,Registered Nurse,2009.0
Arts,School Photographer,1998.0
Education,Student Teacher,2009.0
Education,Teacher,1995.0
Public Service,President 2000,2000.0
Sport,Gymnast,1993.0
Transportation,Stewardess,2006.0
Science and engineering,Computer Engineer,2010.0
Science and engineering,Computer Engineer,2010.0
Business,Entrepreneur,2014.0
Business,Entrepreneur,2014.0
Sport,Olympic Gymnast,1996.0
Public Service,Firefighter,2015.0
animal_care,Zookeeper,2012.0
Medicine,Baby Doctor,2003.0
Medicine,Baby Doctor,2003.0
Transportation, Flight Attendant,2012.0
Science and engineering,Mars Explorer,2013.0
restaurant_kitchen,Dessert Chef,2013.0
Medicine,Newborn Baby Doctor,2009.0
Arts,Music Star,2007.0
Sport,Gymnastic Champion,2012.0
Transportation,Travel Agent,1986.0
restaurant_kitchen,Sweet Chef,2013.0
Arts,Rock Star,2013.0
restaurant_kitchen,Pizza Chef,2010.0
Science and engineering,Mars Explorer ,2013.0
Arts,Magician,2013.0
Education,Baby Sitter,2013.0
Education,Nursery School Teacher,2012.0
animal_care,Dolphin Trainer,2013.0
Sport,Gymnastics,2015.0
Sport,Tennis Player,2015.0
Education,Teacher,2015.0
Sport,Soccer Player,2015.0
Transportation,Lifeguard,2015.0
Medicine,Dentist,2015.0
Medicine,Dentist,2016.0
