,Title,Product #,Released,Lowest,Average,Highest,URL
34,Radiant Rose Barbie,15140,1996,3,13,46,http://www.barbiedb.com/wp-content/uploads/2020/05/radiant-rose-barbie.jpg
35,Midnight Gala Barbie,12999,1995,5,21,65,http://www.barbiedb.com/wp-content/uploads/2020/05/midnight-gala-barbie.jpg
36,Lady of the White Woods Barbie,CGK94,2015,86,21,196,http://www.barbiedb.com/wp-content/uploads/2020/05/lady-of-the-white-woods-barbie.jpg
37,Harpist Angel Barbie,18894,1998,9,21,100,http://www.barbiedb.com/wp-content/uploads/2020/05/harpist-angel-barbie.jpg
38,Bob Mackie The Charleston Barbie,24252,2001,103,21,305,http://www.barbiedb.com/wp-content/uploads/2020/05/bob-mackie-the-charleston-barbie.jpg
39,Barbie as Marzipan in The Nutcracker,20851,1999,15,21,46,http://www.barbiedb.com/wp-content/uploads/2020/05/barbie-as-marzipan-in-the-nutcracker.jpg
40,Barbie 30th Anniversary Francie,14608,1996,22,42,70,http://www.barbiedb.com/wp-content/uploads/2020/05/barbie-30th-anniversary-francie.jpg
41,Flying Tinker Bell from Disney’s Peter Pan,19298,1997,17,42,25,http://www.barbiedb.com/wp-content/uploads/2021/11/19298-1997-flying-tinker-bell-from-disneys-peter-pan-481x1024.jpg
42,Disney Favorites Barbie,28172,2000,4,42,30,http://www.barbiedb.com/wp-content/uploads/2021/09/28172-2000-disney-favorites-barbie-454x1024.jpg
43,Winter Renaissance Barbie,15570,1996,1,42,51,http://www.barbiedb.com/wp-content/uploads/2021/08/15570-winter-renaissance-602x1024.jpg
44,2017 Holiday Barbie,DYX39,2017,9,42,58,http://www.barbiedb.com/wp-content/uploads/2021/08/dyx39-2017-holiday-849x1024.jpg
45,Workin’ Out,17317,1996,9,23,50,http://www.barbiedb.com/wp-content/uploads/2021/08/17317-workin-out-522x1024.jpg
46,Special Occasion Barbie,15831,1996,1,23,29,http://www.barbiedb.com/wp-content/uploads/2021/07/15831-1996-special-occasion-barbie-617x1024.jpg
47,Prince Ken,20491,1998,15,23,69,http://www.barbiedb.com/wp-content/uploads/2020/05/prince-ken.jpg
48,Special 2000 Edition Celebration Barbie,28269,2000,1,23,1051,http://www.barbiedb.com/wp-content/uploads/2020/05/28269-special-2000-edition-celebration-barbie-901x1024.jpg
49,Holiday Ball Barbie,18326,1997,16,23,125,http://www.barbiedb.com/wp-content/uploads/2020/05/holiday-ball-barbie.jpg
50,Happy Holidays Barbie,4098,1990,4,28,101,http://www.barbiedb.com/wp-content/uploads/2020/05/happy-holidays-barbie-4098.jpg
51,Barbie DC Comics – Lois Lane,J5288,2005,10,28,100,http://www.barbiedb.com/wp-content/uploads/2020/05/barbie-dc-comics-lois-lane.jpg
52,Barbie Charm Girls Secret Spells,B2787,2003,14,28,75,http://www.barbiedb.com/wp-content/uploads/2020/05/barbie-charm-girls-secret-spells.jpg
53,Barbie A Perfect Christmas Lead Doll,V6985,2011,30,28,55,http://www.barbiedb.com/wp-content/uploads/2020/05/barbie-a-perfect-christmas-lead-doll.jpg
54,2013 Holiday Barbie Doll,X8271,2013,9,28,221,http://www.barbiedb.com/wp-content/uploads/2020/05/2013-holiday-barbie-doll.jpg
